"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"GEO",2016,4,"rolling",0.696,0.304,0.0583333333333333
"GRC",2016,4,"rolling",0.6,0.4,0.344444444444444
"HRV",2016,4,"rolling",0.643,0.357,0.593859649122807
"HUN",2016,4,"rolling",0.714,0.286,0.683333333333333
"IRL",2016,4,"rolling",0.731,0.269,0.5
"ISR",2016,4,"rolling",0.808,0.192,1.18589743589744
"ITA",2016,4,"rolling",0.273,0.727,1.015
"KGZ",2016,4,"rolling",0.24,0.76,2.36666666666667
"LTU",2016,4,"rolling",0.808,0.192,0.908888888888889
"LUX",2016,4,"rolling",0.571,0.429,0.885882352941177
"LVA",2016,4,"rolling",0.714,0.286,0.68
"MAR",2016,4,"rolling",0.702,0.298,0.176495726495726
"MDA",2016,4,"rolling",1,0,0
"MLT",2016,4,"rolling",0.852,0.148,0.275
"NLD",2016,4,"rolling",0.423,0.577,1.15662878787879
"NOR",2016,4,"rolling",0.321,0.679,0.824761904761905
"POL",2016,4,"rolling",0.609,0.391,0.593535353535353
"PRT",2016,4,"rolling",0.712,0.288,1.61666666666667
"ROU",2016,4,"rolling",0.846,0.154,0.106521739130435
"SRB",2016,4,"rolling",0.562,0.438,0.918571428571428
"SVN",2016,4,"rolling",0.846,0.154,0.510869565217391
"SVK",2016,4,"rolling",0.683,0.317,0.269172932330827
"TUR",2016,4,"rolling",0.267,0.733,0.485714285714286
"USA",2016,4,"rolling",0.577,0.423,0.703269230769231
"ARM",2017,4,"rolling",0.731,0.269,0.58034188034188
"AUT",2017,4,"rolling",0.273,0.727,1.42083333333333
"BEL",2017,4,"rolling",0.771,0.229,1.325
"CHE",2017,4,"rolling",0.769,0.231,1.06428571428571
"CZE",2017,4,"rolling",0.731,0.269,2.21428571428571
"DNK",2017,4,"rolling",0.714,0.286,0.215789473684211
"EST",2017,4,"rolling",0.481,0.519,0.729299719887955
"ESP",2017,4,"rolling",0.571,0.429,0.944444444444444
"GEO",2017,4,"rolling",0.696,0.304,0.0311111111111111
"GRC",2017,4,"rolling",0.615,0.385,1.73833333333333
"HRV",2017,4,"rolling",0.538,0.462,3.48888888888889
"HUN",2017,4,"rolling",0.643,0.357,3.15526315789474
"IRL",2017,4,"rolling",0.827,0.173,0.393333333333333
"ISR",2017,4,"rolling",0.788,0.212,0.90952380952381
"ITA",2017,4,"rolling",0.478,0.522,0.936666666666667
"KGZ",2017,4,"rolling",0.417,0.583,0.157142857142857
"LTU",2017,4,"rolling",0.886,0.114,0.9
"LUX",2017,4,"rolling",0.679,0.321,0.642857142857143
"LVA",2017,4,"rolling",0.571,0.429,1.50588235294118
"MAR",2017,4,"rolling",0.673,0.327,0.267091503267974
"MDA",2017,4,"rolling",1,0,0
"MLT",2017,4,"rolling",0.714,0.286,0.592481203007519
"NLD",2017,4,"rolling",0.5,0.5,0.962179487179487
"NOR",2017,4,"rolling",0.357,0.643,1.65714285714286
"POL",2017,4,"rolling",0.481,0.519,2.35731601731602
"PRT",2017,4,"rolling",0.846,0.154,0.407246376811594
"ROU",2017,4,"rolling",1,0,0
"SRB",2017,4,"rolling",0.364,0.636,1.86714285714286
"SVN",2017,4,"rolling",0.827,0.173,2.61363636363636
"SVK",2017,4,"rolling",0.712,0.288,1.65740740740741
"TUR",2017,4,"rolling",0.51,0.49,1.83227272727273
"USA",2017,4,"rolling",0.596,0.404,1.61577380952381
"ARM",2015,1,"fix",0.829,0.171,0.0773109243697479
"AUT",2015,1,"fix",0.25,0.75,0.45
"BEL",2015,1,"fix",0.83,0.17,1.46666666666667
"CHE",2015,1,"fix",0.868,0.132,0.583333333333333
"CZE",2015,1,"fix",0.792,0.208,0.975
