"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"TUR",2017,3,"rolling",0.529,0.471,1.29489898989899
"USA",2017,3,"rolling",0.596,0.404,1.08839285714286
"ARM",2015,4,"rolling",0.829,0.171,0.0945378151260504
"AUT",2015,4,"rolling",0.188,0.812,1.13571428571429
"BEL",2015,4,"rolling",0.792,0.208,2.56899224806202
"CHE",2015,4,"rolling",0.849,0.151,1.55243902439024
"CZE",2015,4,"rolling",0.792,0.208,2.425
"DNK",2015,4,"rolling",0.7,0.3,0.171929824561404
"EST",2015,4,"rolling",0.547,0.453,1.16115384615385
"ESP",2015,4,"rolling",0.655,0.345,2.38888888888889
"GEO",2015,4,"rolling",0.755,0.245,0.245238095238095
"GRC",2015,4,"rolling",0.441,0.559,2.47435897435897
"HRV",2015,4,"rolling",0.556,0.444,3.45
"HUN",2015,4,"rolling",0.75,0.25,0.983333333333333
"IRL",2015,4,"rolling",0.83,0.17,0.385714285714286
"ISR",2015,4,"rolling",0.774,0.226,0.6
"ITA",2015,4,"rolling",0.708,0.292,0.316666666666667
"KGZ",2015,4,"rolling",0.625,0.375,0.547669172932331
"LTU",2015,4,"rolling",0.868,0.132,0.302127659574468
"LUX",2015,4,"rolling",0.621,0.379,1.68333333333333
"LVA",2015,4,"rolling",0.69,0.31,3.025
"MAR",2015,4,"rolling",0.712,0.288,0.168571428571429
"MDA",2015,4,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,4,"rolling",0.957,0.043,0.8
"NLD",2015,4,"rolling",0.509,0.491,2.10409090909091
"NOR",2015,4,"rolling",0.448,0.552,2.88910256410256
"POL",2015,4,"rolling",0.532,0.468,0.500512820512821
"PRT",2015,4,"rolling",0.83,0.17,2.75
"ROU",2015,4,"rolling",0.875,0.125,0.229878048780488
"SRB",2015,4,"rolling",0.522,0.478,0.406190476190476
"SVN",2015,4,"rolling",0.792,0.208,1.15
"SVK",2015,4,"rolling",0.673,0.327,1.81533333333333
